Id,Price
4567,167859.75535538167
5925,124387.66639800652
960,151724.29767222147
3848,106156.49873342972
746,182314.97773669573
868,289829.81016512855
672,111162.44709428515
2471,206312.26009197568
4510,128827.61079064962
8354,209981.5302281958
6393,189001.50506713334
13270,237910.03759242184
5250,296538.6733617437
16751,198014.07688271077
11404,136868.26315283077
10588,346974.7554666832
14925,190091.6771773083
6791,205227.2163639081
16097,182547.07148087127
16428,375729.2393999521
6945,346157.5876979829
3190,191280.1698401452
15709,459268.96455515723
13155,156388.07755795243
7675,186940.79505268455
14686,241387.30009315233
609,151121.80274798998
11155,162190.2977520874
10869,179983.54984288645
15742,181879.31751918944
9245,200671.55700418988
3340,171140.43305440154
2359,292950.992244681
8070,209175.3919224245
13707,124983.72807583389
16079,279985.01496267074
15937,297782.8181521951
14090,171411.89839277332
9008,216635.86772612613
16384,176963.73646673013
11657,239710.17463416056
13151,152203.30466242437
8990,150168.08782996732
11857,177005.12486848215
1565,144879.40698713058
8174,99344.29669063108
9247,230373.36872122416
10478,232947.7218196413
15509,148330.03382490925
8306,212042.0603652048
6642,187012.27603821162
7472,223410.16881546337
15989,127673.64189240483
13682,137355.07643746433
163,285285.3897983481
7076,196749.4200188593
7478,366712.7685201301
3029,197601.00298582722
1814,144591.58975951554
10057,133231.40678836702
15100,191777.34594898557
12694,224836.83096663107
6291,196917.45056997408
12603,193417.64791901113
3218,220061.94112691045
13456,129372.66412408781
10170,238228.24146930093
4530,153677.25558660252
13329,167415.74031362517
4820,143840.98901853734
10896,167459.8916819838
13416,119196.20669411194
2701,207465.3979244022
11265,326961.38927945506
9189,264609.15462983714
1858,195882.55836671582
14536,241416.21667251937
6199,330266.106308848
14730,160218.27800652367
7510,266197.36655607854
15505,159165.5735055501
7446,186975.40226440498
14016,169492.7287450515
14113,105198.78867930459
8721,276492.8615749127
6193,289855.074360245
5717,173176.1974395914
5427,302674.7887560822
9520,495446.13566273387
6869,97407.56943334543
1658,157015.1080173632
6639,209742.13977508605
6283,192907.00074336922
6257,121851.8418547694
15235,170264.73180578463
902,192202.10093911208
8932,190028.5634532045
16469,327950.5931177484
2825,276797.9583021584
6450,442702.1358120272
11366,179648.23231797188
3801,352827.07878507685
11385,197771.33396820215
1079,172791.0580158581
3202,203269.4249733977
676,211338.0640076177
6185,267324.89767882874
7730,154912.05428616973
2573,183154.3746358877
10978,204202.08349811682
10962,258374.87179122685
8870,191655.207039282
8496,175354.96387737198
5517,174847.685343743
927,188589.92960746217
13675,216953.1026820528
1499,218286.16267566776
15536,312589.4738171778
8602,331876.1031429471
12137,421588.05268563016
9865,237140.81811185917
16353,263481.01359226834
15908,207972.2222024213
3944,188701.3103668495
10359,206207.839064635
15158,221440.12834176357
3259,242949.33034273775
7220,307408.7680392567
13843,210646.66027789735
16736,183611.2722623443
702,276187.59308234276
16401,178130.70430117208
12134,177026.86660618626
6918,212211.14585314924
11792,129233.51712532908
3798,120431.82008317384
10395,137845.50778302219
11099,139215.34915177213
7090,191065.39117144488
11260,190610.83150085862
9647,225401.96202967272
2903,386446.7071347729
2071,176377.56703751412
8604,181716.0278630313
9346,211773.51924065402
3945,205107.37310706644
3420,144630.36393973103
10842,123127.11158401455
725,143025.59664572467
13931,182033.20733717436
16330,210128.7826765162
9066,397088.45947446674
3326,296539.6726097751
1556,288380.2411574302
6579,98654.41952528914
13877,148013.33432303686
9857,304154.26857818617
7302,253239.31957067788
5684,189770.15382300093
6513,239899.4875564745
11342,109943.17976276684
16561,213457.70717199016
6885,171495.52540890686
9308,176621.42559789028
2559,176265.6211097825
6648,176249.66434491333
15260,177613.55114427177
5113,188187.73930344192
16492,189235.24370945402
12034,287296.831520465
7248,215229.01445876778
2171,216075.5979824121
10594,155463.40650291825
13241,211881.4384596744
7032,142101.6948599742
4884,158413.31514452462
903,235614.66563403682
162,177865.58135319824
6566,250600.56734889577
8249,133374.9004248064
13106,165555.3981859539
256,124599.3023299213
7976,165192.9425430911
8575,159398.9255841569
7591,279898.60887923214
3204,228528.87102539276
15804,183336.84165849027
1525,313102.1830672483
9038,201330.0544777305
13628,196031.72141068408
10016,195062.3865186533
10208,226883.89267079512
2008,177903.6250797477
13029,198511.63574321513
5099,127729.55513752328
9923,290224.7674258746
9461,134747.4376954548
11086,186164.87349331714
15057,239208.23595910647
10689,171988.87858501842
2053,222866.60198978573
16630,171910.11766564654
4985,165245.4622869683
13881,244763.85623362198
13225,190357.09983546037
5779,69822.51355263803
10262,185099.86413806467
10762,215986.63073144286
9513,195476.44541048325
11128,169104.86080045503
2074,316032.08415164624
933,203086.7562083688
2780,190551.15832826303
6594,112663.1267328435
15394,275271.40996624413
14863,146892.04512391007
6698,198421.04690624116
1611,264550.11735650833
174,191597.78126981825
5160,176250.35772142617
3295,335694.81285505556
4559,385603.56881169346
8254,167292.55210096727
10228,97122.45133785115
13924,129547.69387215105
